dataset,seed,pipe,M1_nll,M2_mmd,M3_marg_w1,M4_c2st,acc,f1,ece
EEG,42,knn+winsor+yeojohnson+zscore,0.3325304090976715,0.0356067270148411,0.1123317229032922,0.4955714479524003,0.8559218559218559,0.8530240169359549,0.0161147795171819
EEG,42,knn+quantile,0.3150192201137543,0.0315999785868212,0.0130472141063561,0.4963357539670116,0.8693528693528694,0.8670408149331585,0.0189408301142691
EEG,42,knn+quantile+zscore,0.3150372505187988,0.0315999785868212,0.0130472141063561,0.4963357539670116,0.8705738705738706,0.8682400437105391,0.029096983800732
EEG,42,knn+winsor+quantile,0.3441604077816009,0.0917330506594075,0.2918632472681922,0.4913424205243497,0.8522588522588522,0.8490175376050679,0.0327956653194404
EEG,42,knn+winsor+quantile+zscore,0.3466731905937195,0.0917330506594074,0.2918632472681922,0.4913424205243497,0.8522588522588522,0.8490175376050679,0.0260745114459222
EEG,1,mean,0.4598678052425384,0.2713539979386495,0.4837084527322252,0.4981829096603212,0.7765567765567766,0.77289471092288,0.0233693315723731
EEG,1,mean+zscore,0.4611199200153351,0.2713539979386495,0.4837084527322252,0.4981829096603212,0.7838827838827839,0.7806120518614144,0.0226508638069888
EEG,1,mean+winsor,0.4824043214321136,0.0204875302768828,0.137877548129185,0.4910218890682871,0.7753357753357754,0.7714344650180796,0.0281648400793436
EEG,1,mean+winsor+zscore,0.4830887913703918,0.0204875302768834,0.1378775481291835,0.4910218890682871,0.7704517704517705,0.7664656490402116,0.0247500479148566
EEG,1,mean+yeojohnson,0.5406428575515747,0.2612526534589929,0.5654622802076565,0.4975006000647026,0.7643467643467643,0.757043146525422,0.1163607078885275
EEG,1,mean+yeojohnson+zscore,0.470278799533844,0.1120801697627719,0.3326771483327283,0.4970255177825385,0.7777777777777778,0.7737706410879068,0.0237302685540819
EEG,1,mean+winsor+yeojohnson,0.5431979298591614,0.311893905381548,0.6603174856670265,0.5000827418409836,0.7509157509157509,0.7445789763346176,0.0691346211020035
EEG,1,mean+winsor+yeojohnson+zscore,0.4883699715137481,0.0201617648173724,0.1374567348361637,0.4912022811900712,0.7765567765567766,0.7730364030365393,0.0389472254175551
EEG,1,mean+quantile,0.4727899432182312,0.0203211322041132,0.0271513237141778,0.4913816794158674,0.7728937728937729,0.7689500570291455,0.0262098937535315
EEG,1,mean+quantile+zscore,0.4752174615859985,0.0203211322041132,0.0271513237141778,0.4913816794158674,0.7655677655677655,0.7618003126552673,0.0327913181831257
EEG,1,mean+winsor+quantile,0.4890636801719665,0.0524134640780101,0.3256926155147361,0.497270513143529,0.7704517704517705,0.7669068669008114,0.0365662507812909
EEG,1,mean+winsor+quantile+zscore,0.4899042248725891,0.0524134640780101,0.3256926155147361,0.497270513143529,0.7728937728937729,0.7693865810827176,0.0476789922795744
EEG,1,median,0.4505215883255005,0.2730632997113585,0.4886421916983107,0.49797866403483,0.7851037851037851,0.7821729511466808,0.0152428506058214
EEG,1,median+zscore,0.4537646770477295,0.2730632997113585,0.4886421916983108,0.49797866403483,0.7936507936507936,0.790135324665479,0.0129477114613385
EEG,1,median+winsor,0.4695484638214111,0.0209230188462363,0.1472269251464959,0.4907192477400047,0.778998778998779,0.7749388532188789,0.0195618158295041
EEG,1,median+winsor+zscore,0.4676414430141449,0.020923018846236,0.1472269251464956,0.4907192477400047,0.7802197802197802,0.776687793114313,0.0178142615727016
EEG,1,median+yeojohnson,0.535386323928833,0.2632811922472138,0.5707287519172781,0.4975020909086843,0.7716727716727717,0.7648001032002838,0.1212300658226013
EEG,1,median+yeojohnson+zscore,0.4636237323284149,0.1127137180077843,0.3415570508606386,0.4969355701956434,0.7814407814407814,0.7777172965391759,0.0265051441606002
EEG,1,median+winsor+yeojohnson,0.5335544347763062,0.3350339849369785,0.6602454658941431,0.4959108634322309,0.7619047619047619,0.7551531969368278,0.0920103076613429
EEG,1,median+winsor+yeojohnson+zscore,0.473607987165451,0.0197627527640948,0.1694202305171196,0.490627809309128,0.7826617826617827,0.7781339031339032,0.0264803989902957
EEG,1,median+quantile,0.4656804203987121,0.0203119237701144,0.0296604822159765,0.4901452728070554,0.7753357753357754,0.7711317659923456,0.0309411275663364
EEG,1,median+quantile+zscore,0.466657429933548,0.0203119237701144,0.0296604822159765,0.4901452728070554,0.7728937728937729,0.7681623931623932,0.0339584920432541
EEG,1,median+winsor+quantile,0.481435477733612,0.0521289822167256,0.3300788571965274,0.4966930595746224,0.7741147741147741,0.7709679613631726,0.0338240089725079
EEG,1,median+winsor+quantile+zscore,0.4806382060050964,0.0521289822167256,0.3300788571965274,0.4966930595746224,0.7704517704517705,0.7675824175824175,0.036325778134431
EEG,1,knn,0.325842022895813,0.2730579679046151,0.4545683381661963,0.4945879878724811,0.8595848595848596,0.8576287327392694,0.0126330844503036
EEG,1,knn+zscore,0.3261919915676117,0.2730579679046151,0.4545683381661962,0.4945879878724811,0.8547008547008547,0.8526766886606354,0.0346344411009251
EEG,1,knn+winsor,0.337906002998352,0.0332833232855447,0.1152782115806836,0.4870989816044761,0.8547008547008547,0.8526766886606354,0.0145437924125401
EEG,1,knn+winsor+zscore,0.340036541223526,0.0332833232855439,0.1152782115806809,0.4870989816044761,0.8547008547008547,0.8526766886606354,0.0103354586495293
EEG,1,knn+yeojohnson+zscore,0.3338671624660492,0.1220204307077615,0.3022096301773297,0.4923606669638415,0.8534798534798534,0.8513953235190943,0.0215609078005556
EEG,1,knn+winsor+yeojohnson,0.4502911865711212,1.0004070004070005,0.7973407187540931,0.4993894993894994,0.8583638583638583,0.8554131054131053,0.1723007931668534
EEG,1,knn+winsor+yeojohnson+zscore,0.3397327959537506,0.0323585701075234,0.1103233273997451,0.4872883187901503,0.8461538461538461,0.8438725490196078,0.0106349392397208
EEG,1,knn+quantile,0.3246957659721374,0.0300587653793698,0.0129167273603795,0.4874046046207218,0.8571428571428571,0.8553171764329297,0.0058130943585955
EEG,1,knn+quantile+zscore,0.3244907557964325,0.0300587653793698,0.0129167273603795,0.4874046046207218,0.8547008547008547,0.8528439657736635,0.0133561519621638
EEG,1,knn+winsor+quantile,0.3692524135112762,0.0809940875877177,0.2925325932544281,0.4896269560494224,0.8363858363858364,0.8341544059866774,0.0173279438554439
EEG,1,knn+winsor+quantile+zscore,0.3687960207462311,0.0809940875877177,0.2925325932544281,0.4896269560494224,0.8351648351648352,0.8328685123460988,0.0165385060257964
EEG,2,mean,0.3990156054496765,0.0648619108834356,0.2570503144247757,0.4775789488854201,0.8168498168498168,0.8139064942619276,0.0218264315736744
EEG,2,mean+zscore,0.3986366391181946,0.0648619108834356,0.2570503144247759,0.4775789488854201,0.811965811965812,0.8085751578436133,0.0175132784942421
EEG,2,mean+winsor,0.4122901558876037,0.0226413931959147,0.1372917253587255,0.4750062491210232,0.8095238095238095,0.8066993464052288,0.0275178676123147
EEG,2,mean+winsor+zscore,0.4153026640415191,0.0226413931959139,0.1372917253587263,0.4750062491210232,0.8168498168498168,0.8140214363570304,0.0357220503291222
